Operating Airline Name,B1,B2,B3
Air India,0.0,0.0,1485.0
Allegiant Air,0.0,0.0,1680.0
Austrian Airlines,0.0,0.0,720.0
Delta Air Lines,19313.0,0.0,0.0
El Al Israel Airlines,0.0,0.0,639.0
Emirates,0.0,7223.0,1112.0
Endeavor Air,3907.0,0.0,0.0
Ethiopian Airlines,0.0,1717.0,0.0
French Bee,0.0,4521.0,0.0
Frontier Airlines,25495.0,1397.0,635.0
Icelandair,0.0,0.0,4317.0
LOT Polish Airlines,0.0,0.0,3560.0
La Compagnie,124.0,1175.0,0.0
Lufthansa German Airlines,0.0,0.0,6162.0
Porter Airlines,0.0,4256.0,0.0
SAS - Scandinavian Airlines Sys.,0.0,0.0,1392.0
SkyWest Airlines,2516.0,0.0,0.0
Spirit Airlines,69946.0,0.0,7201.0
Sun Country Airlines,0.0,0.0,346.0
Swiss International Airlines,0.0,0.0,954.0
Tap-Portuguese Airlines (TAP Portugal),0.0,0.0,8376.0
